teamA;teamB;goalsA;goalsB;region
Niger;Burkina Faso;0;2;Africa
Algerien;Djibouti;8;0;Africa
Djibouti;Niger;2;4;Africa
Burkina Faso;Algerien;1;1;Africa
Algerien;Niger;6;1;Africa
Djibouti;Burkina Faso;0;4;Africa
Burkina Faso;Djibouti;2;0;Africa
Niger;Algerien;0;4;Africa
Burkina Faso;Niger;1;1;Africa
Djibouti;Algerien;0;4;Africa
Niger;Djibouti;7;2;Africa
Algerien;Burkina Faso;2;2;Africa
Mauretanien;Sambia;1;2;Africa
Tunesien;Äquatorialguinea;3;0;Africa
Sambia;Tunesien;0;2;Africa
Äquatorialguinea;Mauretanien;1;0;Africa
Äquatorialguinea;Sambia;2;0;Africa
Tunesien;Mauretanien;3;0;Africa
Sambia;Äquatorialguinea;1;1;Africa
Mauretanien;Tunesien;0;0;Africa
Sambia;Mauretanien;4;0;Africa
Äquatorialguinea;Tunesien;1;0;Africa
Mauretanien;Äquatorialguinea;1;1;Africa
Tunesien;Sambia;3;1;Africa
Zentralafr. Republik;Kapverdische Inseln;1;1;Africa
Nigeria;Liberia;2;0;Africa
Liberia;Zentralafr. Republik;1;0;Africa
Kapverdische Inseln;Nigeria;1;2;Africa
Liberia;Kapverdische Inseln;1;2;Africa
Nigeria;Zentralafr. Republik;0;1;Africa
Zentralafr. Republik;Nigeria;0;2;Africa
Kapverdische Inseln;Liberia;1;0;Africa
Kapverdische Inseln;Zentralafr. Republik;2;1;Africa
Liberia;Nigeria;0;2;Africa
Nigeria;Kapverdische Inseln;1;1;Africa
Zentralafr. Republik;Liberia;1;3;Africa
Mosambik;Elfenbeinküste;0;0;Africa
Kamerun;Malawi;2;0;Africa
Elfenbeinküste;Kamerun;2;1;Africa
Malawi;Mosambik;1;0;Africa
Malawi;Elfenbeinküste;0;3;Africa
Kamerun;Mosambik;3;1;Africa
Mosambik;Kamerun;0;1;Africa
Elfenbeinküste;Malawi;2;1;Africa
Malawi;Kamerun;0;4;Africa
Elfenbeinküste;Mosambik;3;0;Africa
Mosambik;Malawi;1;0;Africa
Kamerun;Elfenbeinküste;1;0;Africa
